Statistical profiling result from infoConsoleProf.log, (14175 ticks, 26 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.2%    0.0%  __GI___pthread_rwlock_unlock
      2    0.2%    0.0%  _IO_default_xsputn
      1    0.1%    0.0%  std::string::_Rep::_S_create(unsigned long, unsigned long, std::allocator<char> const&)
      1    0.1%    0.0%  std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const
      1    0.1%    0.0%  std::ostream::put(char)
      1    0.1%    0.0%  std::ostream::flush()
      1    0.1%    0.0%  std::ostream& std::ostream::_M_insert<unsigned long>(unsigned long)
      1    0.1%    0.0%  std::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string(std::string const&)
      1    0.1%    0.0%  std::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string(char const*, std::allocator<char> const&)
      1    0.1%    0.0%  std::__detail::_List_node_base::_M_hook(std::__detail::_List_node_base*)
      1    0.1%    0.0%  operator new[](unsigned long)
      1    0.1%    0.0%  __libc_read
      1    0.1%    0.0%  __fmod_finite
      1    0.1%    0.0%  __GI___pthread_rwlock_wrlock
      1    0.1%    0.0%  _IO_setb

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
  12111   85.4%  /home/develop/.nvm/versions/node/v16.6.0/bin/node
   6679   55.1%    /home/develop/.nvm/versions/node/v16.6.0/bin/node
    901   13.5%      LazyCompile: ~compileFunction node:vm:308:25
    830   92.1%        LazyCompile: ~wrapSafe node:internal/modules/cjs/loader:1017:18
    830  100.0%          LazyCompile: ~Module._compile node:internal/modules/cjs/loader:1055:37
    830  100.0%            LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1110:37
     71    7.9%        LazyCompile: *Module._compile node:internal/modules/cjs/loader:1055:37
